start,goal,distance_km,dijkstra_nodes,astar_nodes,reduction_pct,dijkstra_time_ms,astar_time_ms,grid_angle_deg,costs_match
42432073,42427386,4.1550219824265096,1597,552,65.43519098309329,1.8140999964089133,1.232700000400655,32.345643059442125,True
42443119,42440456,6.744070735435298,2180,366,83.21100917431193,3.833300004771445,1.6828999941935763,4.672759866464418,True
42439065,42433785,5.489759091499497,731,43,94.11764705882352,1.3285999957588501,0.22569999418919906,5.916385416920349,True
42431467,9177424868,6.363045028182107,2535,694,72.62327416173571,4.4592999984161,2.500599999621045,27.512938256377765,True
42430557,588546882,1.8249197289229515,599,72,87.97996661101837,0.9343000056105666,0.2055000004475005,3.772449604425958,True
42427939,42427855,2.2444477914194305,132,42,68.18181818181819,0.19109999993816018,0.13410000246949494,11.667042483895926,True
42430938,42438798,5.920109815130364,2258,329,85.4295837023915,2.2993999955360778,0.6977000011829659,14.15372744017202,True
42439724,4515465265,4.281632588881713,1117,302,72.9632945389436,1.2202999932924286,0.6022000015946105,20.912134021279144,True
42427519,13099951760,6.876431990711672,2370,634,73.24894514767932,2.2309000050881878,1.330200000666082,7.991473076839128,True
42437204,9168918373,3.1413263704822167,1070,220,79.43925233644859,1.2864000018453225,0.9748999946168624,35.95302704166795,True
587934172,42438881,10.346742711535452,2686,1164,56.664184661206264,4.350499999418389,2.685700004803948,14.427308336623469,True
1061531730,42443403,0.48125664943181723,43,5,88.37209302325581,0.04199999966658652,0.012700002116616815,12.144828370163111,True
42422258,42435392,9.453811795120227,3371,1082,67.9026994956986,3.0687000034959055,1.9905000008293428,14.792984080041037,True
42443381,42435207,3.139477907926898,929,188,79.76318622174381,0.7585999992443249,0.34759999834932387,31.25601668153547,True
42438471,42449427,11.293548491417893,2975,374,87.42857142857143,2.6961000039591454,1.116400002501905,0.3585139409408953,True
42431459,42430857,1.0110871585752503,148,25,83.10810810810811,0.16110000433400273,0.05709999823011458,33.57564168818351,True
42458960,42431044,3.264472609710003,1018,164,83.88998035363457,1.1325999948894605,0.3271000023232773,25.72220592041549,True
42453468,42450055,9.62247347485821,3165,1397,55.86097946287521,3.006999999342952,2.5724000006448478,12.081595752279725,True
42442684,42428411,15.08739406466228,3999,1399,65.01625406351587,3.915900000720285,5.973300001642201,6.665150298281418,True
1733614298,7732571885,4.722385886743012,1685,192,88.6053412462908,2.9715999990003183,0.7617000010213815,6.0867218021238045,True
42432932,42457925,10.735749764792752,3545,2166,38.89985895627645,4.902499997115228,5.235699994955212,16.376995842992557,True
42430164,11337295608,4.333412378283369,1818,449,75.3025302530253,2.260000001115259,1.2090999953215942,13.65839211305672,True
42445046,42453717,6.651769770998396,1015,197,80.5911330049261,1.2401999993016943,0.555899998289533,3.67957921649932,True
42436899,42429708,17.943939053151134,4547,1764,61.20519023531998,4.920100000163075,4.180899995844811,2.4163294461600913,True
42428480,42439432,17.31133330695379,4503,1266,71.88540972684876,5.523899999388959,3.470899995591026,6.3537249127132895,True
42444814,42430237,7.351305552735321,2893,634,78.08503283788455,3.5398000036366284,1.7671000023256056,6.651198573509902,True
42439730,42431242,4.075264040480602,1004,239,76.19521912350598,1.1833000025944784,0.603899999987334,6.581906714436911,True
42459041,42443388,2.1007045894850864,476,47,90.12605042016807,0.5411999954958446,0.11939999967580661,23.529813720248114,True
1506445797,42454391,11.641428611604105,4091,1628,60.205328770471766,5.014099995605648,3.6594000048353337,24.866906089601002,True
42435541,42455465,2.985163943161159,893,271,69.6528555431131,0.869200004672166,0.5137000043760054,36.387352728393296,True
42453008,42437944,13.932211895169623,4350,1291,70.32183908045977,4.029399999126326,2.6273000039509498,12.63666822859642,True
42442842,42429806,1.3012133233438279,364,52,85.71428571428572,0.5123000009916723,0.12180000339867547,23.934468522704776,True
42435885,7500756892,14.445043427039545,4169,2728,34.56464379947229,5.059800001617987,6.08009999996284,12.078662440445328,True
42440453,42435578,4.498581413877786,1823,423,76.79648930334612,1.7249999946216121,0.8301999987452291,18.016404203140638,True
1773076509,42458728,18.61102004201197,4521,1973,56.35921256359213,4.862699999648612,4.618999999365769,8.704588595837436,True
42442952,12374690312,5.257766412871114,2286,86,96.23797025371829,2.860000000509899,0.2891999974963255,0.7438807099989333,True
42438836,42447228,6.4784553457965615,2157,450,79.13769123783032,2.363599996897392,1.0485000020707957,14.143761578316656,True
42428970,42439506,5.883444696721073,1538,604,60.72821846553966,1.5452000006916933,2.184800003306009,38.80561597007386,True
42427965,42446604,12.843130787674701,4433,537,87.88630724114596,6.189499996253289,1.2841999996453524,13.751792088641878,True
371197453,42442889,4.745438116443787,1338,131,90.20926756352765,1.3547999988077208,0.2992000008816831,9.115262752097095,True
42429633,42438043,9.527206627344132,2631,644,75.52261497529457,2.3853999955463223,1.4679999949294142,3.42472760149991,True
42446521,42438189,15.0247629309338,4273,1791,58.085654107184645,5.046300000685733,4.646300003514625,7.207977603140023,True
4158673495,277482094,14.134356472312245,3700,2830,23.513513513513516,3.433899997617118,5.768499999248888,7.1861003985576986,True
1701844664,42434131,7.463415844350998,3184,337,89.41582914572864,4.617699996742886,0.9547000008751638,4.996626419997028,True
42442703,42433785,2.409664519130664,566,89,84.2756183745583,0.626200002443511,0.20390000281622633,14.574080942483818,True
42440566,13105137064,10.599358675154008,4039,1619,59.91582074770982,3.9389000012306497,3.3283000011579134,22.127676209633023,True
7890202648,42442613,5.525217575280467,791,209,73.57774968394438,0.6917999999132007,0.4262000002199784,33.9581822311697,True
593988920,370894980,6.1192368952485126,2600,912,64.92307692307693,3.595599999243859,2.885699999751523,37.49728693834254,True
42453777,42438819,7.408312684738755,2401,1069,55.47688463140359,3.1846999991103075,2.6338000025134534,16.813268448606323,True
42433611,4682935365,3.118034680479296,1158,187,83.85146804835924,1.0890999983530492,0.35679999564308673,34.0769169658729,True
3829675223,42430747,3.885703821525901,1059,190,82.05854579792256,0.9353999994345941,0.3763000058825128,16.80789676318426,True
42428588,42431889,8.754518322811027,3981,873,78.07083647324792,4.154900001594797,2.1488999991561286,11.193870524668,True
42434895,42435400,1.8514966799296149,328,75,77.13414634146342,0.35990000469610095,0.18280000222148374,31.719876509023038,True
588593059,42429431,4.093981762835097,1124,123,89.05693950177937,1.163999993877951,0.31820000003790483,20.194190969952672,True
60927823,60917021,5.446628948481928,1269,588,53.664302600472816,1.324700002442114,1.08380000165198,41.85257259605282,True
1919595927,6885524021,12.344855254400443,3768,1129,70.03715498938429,3.4148999984608963,2.4849000037647784,8.718621547501868,True
42441077,11728146527,9.629170815001599,3176,389,87.75188916876574,5.341800002497621,1.4701000036438927,5.714627159037121,True
42424225,42432178,7.959306051937582,3466,808,76.68782458165032,4.16669999685837,1.8565999998827465,13.00204657844327,True
7732654931,42442836,11.837185958507156,3804,1709,55.073606729758154,3.5656999971251935,4.769999999552965,13.75158165855467,True
42449833,42432075,10.704386430045414,3942,1326,66.36225266362253,4.308599993237294,2.6068999941344373,7.29529673664527,True
42445171,596775882,5.499966806795906,1965,556,71.70483460559797,1.6500999990967102,1.0018999964813702,11.005157966558215,True
42435333,1506445821,1.4300386823892874,191,43,77.4869109947644,0.1771000024746172,0.08410000009462237,18.680096410515375,True
42421877,42442635,12.209761496072217,3865,544,85.92496765847348,3.3621999973547645,2.651899994816631,7.142934846921776,True
4205440429,42436296,3.215049425690976,926,153,83.47732181425485,1.3824999987264164,0.5087000026833266,16.305891189988074,True
4597668035,42431656,4.421444184423964,2078,199,90.42348411934552,2.631800001836382,0.545299997611437,4.54599629357682,True
